fen,outcome,side_to_move
2r5/p4pkp/1p4p1/1P1RPn2/4N3/5P1P/8/6K1 b - - 0 42,0.0,b
8/p4pkp/1p4p1/1P1RPn2/8/5P1P/2rN1K2/8 b - - 4 44,0.0,b
8/p1r2pkp/1p4p1/1P2P3/5P1n/3R3P/3N1K2/8 b - - 2 46,0.0,b
8/p2R2kp/1p2p1p1/1Pr5/5P1n/7P/3N1K2/8 b - - 1 48,0.0,b
8/R6p/1p2p1pk/1r6/5P1n/5N1P/5K2/8 b - - 1 50,0.0,b
8/R6p/1p2p1pk/8/5P1N/7P/2r5/8 w - - 1 53,0.0,w
8/R6p/1p2p2k/2r2p2/5P1P/8/8/8 w - - 1 55,0.0,w
5k2/p1rr1ppp/1p3n2/1P2P3/5P1n/R6P/4N1P1/R5K1 b - - 0 40,1.0,b
5k2/p1rr2pp/1p2p3/1P1n4/5P1n/3R3P/4N1P1/R5K1 b - - 1 42,1.0,b
5k2/p1r3pp/1p1rpn2/1P6/3N1P1n/3R2PP/8/R5K1 b - - 0 44,1.0,b
5k2/p1r3pp/1p2p3/1P1n4/3r1P1P/R6P/8/R5K1 b - - 0 46,1.0,b
5k2/R1r3pp/1p2p3/1P6/3r3P/7n/6K1/R7 b - - 1 48,1.0,b
5k2/3R2pp/1p2p3/1P6/7P/5K1n/3r4/R7 b - - 0 50,1.0,b
3R1k2/6pp/1p2p3/1P6/7P/5K1n/8/8 b - - 0 52,1.0,b
1R6/5kpp/1p2p3/1P6/7P/8/6K1/6n1 b - - 4 54,1.0,b
1R6/5kpp/1p2p3/1P6/3n3P/8/5K2/8 b - - 8 56,1.0,b
5k2/6pp/1R2p3/1n6/7P/8/5K2/8 w - - 0 59,1.0,w
8/4k1p1/4p2p/7R/7P/8/5K2/8 w - - 0 61,1.0,w
8/5kp1/4p2p/1R6/7P/8/5K2/8 w - - 4 63,1.0,w
8/3k2p1/4p2p/R7/7P/5K2/8/8 w - - 8 65,1.0,w
5k2/6R1/4p2p/8/7P/5K2/8/8 w - - 1 67,1.0,w
5k2/2R5/4p2p/7P/8/5K2/8/8 w - - 1 69,1.0,w
3k4/2R5/4p2p/4K2P/8/8/8/8 w - - 5 71,1.0,w
1k6/8/4p2R/4K2P/8/8/8/8 w - - 1 73,1.0,w
8/1k6/4R2P/4K3/8/8/8/8 w - - 1 75,1.0,w
7Q/3k4/4R3/4K3/8/8/8/8 w - - 1 77,1.0,w
3rr1k1/pb3p1p/1p3np1/2p1q3/1P2P2n/P2B2NP/4QPP1/2R1R1K1 w - - 0 27,0.0,w
3r2k1/pb2rp1p/1p3np1/2p5/1PB1Pq1n/P5NP/Q4PP1/2R1R1K1 w - - 4 29,0.0,w
6k1/pb3r1p/1p3np1/2P5/4Pq1n/P5NP/Q2r1PP1/2R1R1K1 w - - 1 31,0.0,w
6k1/pb3r1p/1P4p1/8/4n2n/P5NP/3q1PP1/2R1R1K1 w - - 0 33,0.0,w
2R5/p4rkp/1P4p1/8/4b2n/P6P/3q1PP1/4R1K1 w - - 2 35,0.0,w
6k1/p4r1p/1P4p1/6q1/4b2n/P6P/5PP1/5RK1 w - - 2 37,0.0,w
6k1/p4r1p/1P4pq/8/4b3/P4nPP/5P2/5R1K w - - 3 39,0.0,w
6k1/p4r1p/1P4pq/8/4b3/P4nP1/8/5R1K w - - 0 41,0.0,w
8/p4rkp/1P4pq/8/4b3/P4nP1/5K2/3R4 b - - 4 43,0.0,b
3r2k1/pb3ppp/1p2rn2/1B2q3/1P2P2n/6NP/4QPP1/2R1R1K1 b - - 0 28,0.0,b
3r2k1/pb3Bpp/3r1n2/1p2q3/1P2P2n/6NP/4QPP1/2R1R1K1 b - - 0 30,0.0,b
8/pb1R1kpp/3r1n2/1p2q3/1P2P2n/6NP/4QPP1/4R1K1 b - - 0 32,0.0,b
5k2/pb1r2pp/5n2/1p2q3/1P2P2n/6NP/5PP1/Q3R1K1 b - - 3 34,0.0,b
5k2/p2r2pp/5n2/1p6/1P2N2n/7P/5PP1/R5K1 b - - 0 36,0.0,b
5k2/p2r2pp/5n2/1p6/1P5n/7P/5PP1/4RK2 b - - 3 38,0.0,b
8/p4kpp/5n2/1p2R3/1P5n/7P/4KPP1/3r4 b - - 7 40,0.0,b
8/p4kpp/8/1p1n4/1P5n/6PP/4KP2/8 b - - 0 42,0.0,b
8/p4kpp/8/1p3n2/1n6/6PP/3K1P2/8 b - - 1 44,0.0,b
8/p4kpp/3n4/1p6/6P1/7P/n1K2P2/8 b - - 2 46,0.0,b
8/p4kpp/8/1p4n1/6P1/1K3P1P/n7/8 b - - 2 48,0.0,b
8/p4kpp/8/1p4n1/6P1/5P1P/2K1n3/8 b - - 6 50,0.0,b
8/p4kpp/8/1p6/3n2P1/4KP1n/8/8 b - - 3 52,0.0,b
8/p4kpp/8/1p6/3n2P1/4KP1n/8/8 b - - 7 54,0.0,b
8/p4kpp/8/1p4n1/6P1/4KP1n/8/8 b - - 11 56,0.0,b
8/p4kpp/8/6P1/6P1/1p2K2n/8/8 b - - 0 58,0.0,b
8/p4kpp/8/3K2P1/6P1/7n/8/1q6 b - - 1 60,0.0,b
8/p4kpp/8/6n1/2K3P1/8/8/3q4 b - - 1 62,0.0,b
8/p4kpp/8/2K3n1/4q3/8/8/8 b - - 3 64,0.0,b
8/p4kpp/2K1n3/8/3q4/8/8/8 b - - 7 66,0.0,b
3n4/1K3kpp/p7/2q5/8/8/8/8 w - - 2 69,0.0,w
3n4/K4k1p/6p1/8/1q6/8/8/8 b - - 1 71,0.0,b
rn1q1rk1/ppb2ppp/2p2nb1/2Pp4/1P3P2/3BP3/PBQ3PP/RN3RK1 w - - 1 13,0.5,w
rn3rk1/ppb1qppp/2p2n2/2Pp1P1b/1P1B4/3BP3/P1Q3PP/RN3RK1 w - - 3 15,0.5,w
rn3rk1/ppbq1p1p/2p2p2/2Pp1P1b/1P6/3BP1P1/P1Q4P/RN3RK1 w - - 0 17,0.5,w
