number,loss,texel_scale,error_count
339,0.886680370587696,984.8742669920119,0
340,0.8661535199756497,1075.2936487051456,0
341,0.8582589956409924,1104.9127529371835,0
342,0.8480537746700572,1175.1908313314102,0
343,0.864841650912814,1084.405649767862,0
344,0.8877834578588539,1005.5653698909347,0
345,0.8622227727032856,1087.5001915408193,0
346,0.8734841516922961,1041.6314624619215,0
347,0.8678175689542164,1082.2924820312137,0
348,0.8520724260754525,1138.555315194675,0
349,0.9025094043082929,936.0801202844912,0
350,0.8467865738708272,1186.9293043925206,0
351,0.8489256415907575,1168.393295817834,0
352,0.8700746737778855,1057.94736605437,0
353,0.8607002961773572,1106.0389406189506,0
354,0.897667270784168,955.0603039143438,0
355,0.8649601750154158,1091.9888859186258,0
356,0.8838292269367185,1010.424736103042,0
357,0.8723790757207834,1044.161471516409,0
358,0.8907022020203299,980.4934004678535,0
359,0.8477057115861031,1159.6194347474689,0
360,0.8465529039388687,1184.6973527466653,0
361,0.8645636468363372,1088.5683042040118,0
362,0.8727088107458509,1054.197130366112,0
363,0.8531792806765657,1146.1304617925216,0
364,0.858900095865403,1097.6998656132928,0
365,0.8740623531975341,1028.0523162305385,0
366,0.8638050492734597,1099.72777719136,0
367,0.8503839520029208,1156.0490190132055,0
368,0.8664770092684844,1066.7867426797839,0
369,0.8760160616972006,1026.0839912453953,0
370,0.8522160754017629,1168.3225316464934,0
371,0.8639068092408804,1088.6263988092428,0
372,0.873236841188722,1040.8384188643595,0
373,0.8547967093558759,1128.5147106876532,0
374,0.8571266049754991,1112.939591019494,0
375,0.8750630205254345,1044.7446013831407,0
376,0.8460336152748847,1195.2347639714799,0
377,0.848433297132037,1153.6809124279057,0
378,0.8701373982632332,1065.4418827023019,0
379,0.8627967814791834,1101.6867854736731,0
380,0.8643855418349609,1081.4855376363216,0
381,0.86912016334638,1070.1360532592125,0
382,0.8473935017099854,1171.3328294047888,0
383,0.8548666849746909,1140.8577732115562,0
384,0.8683002319793397,1085.399177434545,0
385,0.8948510111588837,969.6043202709549,0
386,0.8585083875241664,1140.7465157234049,0
387,0.8665642634991841,1097.5008067384665,0
388,0.8556506403925206,1122.4637241782032,0
389,0.8460755115103986,1157.2670739015057,0
390,0.860407463308147,1120.662684163197,0
391,0.8467934984156019,1166.7672806202818,0
392,0.855253326943391,1119.7772912864798,0
393,0.8447414544266618,1187.3866965318389,0
394,0.8837179234215569,1005.7249394911267,0
