target_cp,original_eval,fitted_eval
43.000000,207.000000,-425.716726
268.000000,-65.000000,442.817409
48.000000,-115.000000,419.043335
226.000000,139.000000,476.703430
503.000000,-244.000000,-688.102706
514.000000,-208.000000,-772.357245
-386.000000,-432.000000,-1002.795226
96.000000,-115.000000,-257.451146
311.000000,544.000000,1069.677785
124.000000,-327.000000,693.710852
-550.000000,-430.000000,-4652.737606
-57.000000,-116.000000,1288.787300
45.000000,-421.000000,242.368830
-192.000000,219.000000,-117.423535
53.000000,-4.000000,147.295515
-107.000000,367.000000,-178.987266
-104.000000,-242.000000,-472.750672
428.000000,-51.000000,-198.466747
-3.000000,-186.000000,-72.621317
213.000000,266.000000,149.231120
-2.000000,143.000000,104.365340
-37.000000,32.000000,10.969826
-802.000000,-574.000000,-10538.790043
25.000000,74.000000,108.759848
436.000000,187.000000,1740.904504
30.000000,-273.000000,572.298269
-11.000000,197.000000,-914.082529
-308.000000,-193.000000,-858.193419
-275.000000,-108.000000,-433.402562
461.000000,-185.000000,1685.348994
-739.000000,-574.000000,-12061.875842
